class,text
Pos, one of my colleagues was surprised when i told her i was willing to see betsy s wedding    and she was shocked to hear that i actually liked it    her reaction was understandable when you consider that the film revolves around molly ringwald   who hasn t made a worthwhile film since 1986    but the fact is   betsy s wedding is also an alan alda film    and while ringwald has been making duds for the last four years   alda has been involved with several noteworthy projects   including crimes and misdemeanors and a new life    written and directed by alda   betsy s wedding is a vibrant slice of life   mixing a few dramatic moments into a big bowl of whimsical humor    alda s comic elixir is smooth and refreshing  and a welcome change of pace from the usual summer fare    as bride and groom   molly ringwald and dylan walsh are the pivotal characters in the film   but they are by far the least interesting    walsh is a nonentity   with all the screen presence of a door knob    ringwald is simply unbearable and is easily the weakest link in the chain    she looks hideous with her short cropped orange hair   red lip stick and grotesque outfits    she s supposed to be a dress designer   but she looks more like a clown    and to make matters worse   ringwald s performance matches her appearance    thankfully   alda keeps ringwald s screen time to a minimum   he is far more interested in the colorful periphery characters    the wedding is just a device to bring together the bride s working class   italian family and the groom s rich   gentile family    ringwald s folks are homey and down to earth   with alda as her free spirited father   madeline kahn as her practical mother   and ally sheedy as her lonely sister    walsh s clan   on the other hand   is prim   proper and ostentatious    when the two families meet and mingle   the movie becomes a story of culture clash   or as one character puts it     money versus values      ally sheedy   in a wonderfully understated performance   is one of the film s most pleasant surprises    sheedy expresses more with just her eyes than ringwald does with her entire body    it s anthony lapaglia   however   who seizes the spotlight    lapaglia plays stevie dee   a suave   overly polite mafioso who is formally courting sheedy with old fashioned chivalry    lapaglia s sincere but dim witted character is a riot    and what s uncanny is that lapaglia is a dead ringer for robert de niro   with a little bit of alec baldwin thrown in for good measure    lapaglia seems to have attended the de niro school of gangster acting   and his inspired performance is partly a tribute to his role model and partly a rip off    i don t know whether to say a star is born or a star is re born   but i do know that lapaglia s over the top performance should not be missed    the scrumptious comic acting   however   extends well beyond sheedy and lapaglia    joe pesci   in particular   sinks his teeth into his role as alda s unscrupulous brother in law   a slum lord with mob ties   who is cheating on his wife   catherine o hara      alda   faced with challenge of both directing and acting   somehow finds just the right comic touch as the bride s financially strapped father   a carpenter whose dreams are bigger than his wallet    the film adopts alda s psychological point of view as he tries to one   plan the wedding   and two   pay for it    as a filmmaker   alda s style of humor is remarkably restrained and tasteful    and while he doesn t have the comic genius of a woody allen   alda does possess the inspiration to make movies which are ten times more entertaining than the slop which usually passes for comedy    
Neg, plot   two teen couples go to a church party   drink and then drive    they get into an accident    one of the guys dies   but his girlfriend continues to see him in her life   and has nightmares    what s the deal    watch the movie and   sorta   find out        critique   a mind fuck movie for the teen generation that touches on a very cool idea   but presents it in a very bad package    which is what makes this review an even harder one to write   since i generally applaud films which attempt to break the mold   mess with your head and such   lost highway & memento     but there are good and bad ways of making all types of films   and these folks just didn t snag this one correctly    they seem to have taken this pretty neat concept   but executed it terribly    so what are the problems with the movie    well   its main problem is that it s simply too jumbled    it starts off   normal   but then downshifts into this   fantasy   world in which you   as an audience member   have no idea what s going on    there are dreams   there are characters coming back from the dead   there are others who look like the dead   there are strange apparitions   there are disappearances   there are a looooot of chase scenes   there are tons of weird things that happen   and most of it is simply not explained    now i personally don t mind trying to unravel a film every now and then   but when all it does is give me the same clue over and over again   i get kind of fed up after a while   which is this film s biggest problem    it s obviously got this big secret to hide   but it seems to want to hide it completely until its final five minutes    and do they make things entertaining   thrilling or even engaging   in the meantime    not really    the sad part is that the arrow and i both dig on flicks like this   so we actually figured most of it out by the half way point   so all of the strangeness after that did start to make a little bit of sense   but it still didn t the make the film all that more entertaining    i guess the bottom line with movies like this is that you should always make sure that the audience is   into it   even before they are given the secret password to enter your world of understanding    i mean   showing melissa sagemiller running away from visions for about 20 minutes throughout the movie is just plain lazy ! !  okay   we get it       there  are people chasing her and we don t know who they are    do we really need to see it over and over again    how about giving us different scenes offering further insight into all of the strangeness going down in the movie    apparently   the studio took this film away from its director and chopped it up themselves   and it shows    there might ve been a pretty decent teen mind fuck movie in here somewhere   but i guess   the suits   decided that turning it into a music video with little edge   would make more sense    the actors are pretty good for the most part   although wes bentley just seemed to be playing the exact same character that he did in american beauty   only in a new neighborhood    but my biggest kudos go out to sagemiller   who holds her own throughout the entire film   and actually has you feeling her character s unraveling    overall   the film doesn t stick because it doesn t entertain   it s confusing   it rarely excites and it feels pretty redundant for most of its runtime   despite a pretty cool ending and explanation to all of the craziness that came before it    oh   and by the way   this is not a horror or teen slasher flick       it s  just packaged to look that way because someone is apparently assuming that the genre is still hot with the kids    it also wrapped production two years ago and has been sitting on the shelves ever since    whatever       skip  it !  where s joblo coming from    a nightmare of elm street 3   7/10     blair witch 2   7/10     the crow   9/10     the crow   salvation   4/10     lost highway   10/10     memento   10/10     the others   9/10     stir of echoes   8/10    
Pos, robert redford is very good at playing characters who have incredible   god given gifts   but are able to act like ordinary people    in   the natural     1984     he played the fallen angelic character of roy hobbs   the baseball player who was destined to be   the best there ever was     but still acted like a humble farm boy    in   butch cassidy and the sundance kid     1969     he was the most dangerous shot in the west   yet he came off like a nothing more than a boyishly good looking charmer    even in   indecent proposal     1993     where he played a man who was so good at making money that he believed he could buy love   redford was still able to exude an aura of shy decency   especially when reciting a tale of lost love    in his latest film     the horse whisperer     based on the best selling novel by nicholas evans   redford again plays such a character    redford also directed the film although he swore up and down that he would never direct himself in a movie   i suppose the character of tom booker   a man who has the amazing gift of understanding and somehow communicating with horses   was just too good to pass up    despite his enormous and rare gift when it comes to training troubled horses   a magazine article coins the phrase   horse whisperer   to describe his uncanny talent     booker sees himself as an everyday cattle rancher whose greatest fear is growing old and no longer having a purpose in life    booker s talents are taxed into service by annie maclean   kristin scott thomas     a new york magazine editor whose daughter   grace   scarlett johansson     was recently in a horrible accident    the accident   which is filmed with gut wrenching horror   happens when grace and her best friend are out riding horses   an eighteen wheeler kills grace s friend   severely wounds and traumatizes grace s horse   pilgrim   and causes grace to lose part of her right leg    annie believes that if pilgrim can be healed   grace will be healed as well   which leads her to booker    at first   she tries to get booker to come to new york to see the horse   but that doesn t work    instead   she packs up grace and pilgrim   leaves her husband   robert   sam neill   behind   and heads for the rolling hills of montana where booker runs a ranch with his brother   frank   chris cooper     and his sister in law   diane   dianne wiest      in many ways   the film is like a journey   both literally and symbolically    the move out west has always been a great american tradition of renewal   and it s hard not to see annie and grace s leaving manhattan for montana as a variation on the classic theme of city vs   country    in   the horse whisperer     country is clearly the victor    the city is characterized by claustrophobia and unhappiness   and it is not until the characters arrive in the wide open spaces of montana that grace s anger at being physically and emotionally crippled begins to dissipate   annie s controlling nature begins to relax   and pilgrim once again learns to trust people    redford is just as in love with the grand montana country in this film as he was when he directed   a river runs through it   six years ago    in many ways     the horse whisperer   comes from the same poetic vein as   river     and the movie could probably be a good fifteen minutes shorter if redford had decided to spend less camera time on the grass and mountains    but then   that would ruin the magic    much of the film s photography is truly elegant   and it creates a palpable sense of the sheer expansiveness of the land    to further emphasize this   redford and cinematographer robert richardson     natural born killers       platoon     cheated a bit by shooting the beginning of the film   which takes place in new york   with mostly cold   harsh bluish filters and a more squarish 1   85   1 aspect ratio   when the action shifts to montana   richardson switches to soft focus and natural lighting   and the screen widens to a 2   35   1 aspect ratio    in terms of the story itself     the horse whisperer   gives us the same romanticized view of adultery found in david lean s   a brief encounter     1945   and clint eastwood s 1995 adaptation of robert james waller s   the bridges of madison county     richard lagravenese   co screenwriter here also adapted   bridges        although   the horse whisperer   has a strong romantic sensibility   i still find something oddly troubling about this kind of story    it seems to me that there should be some sympathy for the husband who s being left behind for this brief   heart sweeping affair   but there rarely is    in   the horse whisperer     the thankless role of being the fuddy duddy husband falls to sam neill    he plays the character as a decent   hard working man who is a good husband and father   his only failure is that he loves his wife more than she loves him    he is at risk of losing annie to booker not because he did anything to drive her away   but simply because he happens to be a normal   fairly uninspiring man    there is one scene that is particularly telling of how the movie feels about each character    it shows booker and robert going into a horse pen   booker is dressed like a classic cowboy with hat and all   while robert looks somewhat frumpy and out of place in a baseball cap    as they enter the pen   booker assuredly swings over the fence   while robert hesitates   then opens the gate and   in a goofy moment   forgets to close it behind him    it s a small scene   but it clearly demonstrates the movie s thorough love of the booker character for his romantic roughness    after all   booker represents everything good about the city while robert represents everything banal and unnatural about it    the best scenes in   the horse whisperer   tend to involve not the building romance between booker and annie   but rather the healing process of grace and her horse    although booker s horse training methods are mythical and unrealistic   the scenes with him and pilgrim are strangely mesmerizing    these are paralleled by the scenes between him and grace   some of which are humorous   and all of which are tender and true    at some point   i wished the movie would drop the whole romance angle and focus on grace more    nevertheless   redford is obviously a romantic at heart   and he brings a light touch to the erotic moments in the film    there are no dramatic sex scenes   but there is a moving scene when he and scott thomas are slow dancing   always moving ever closer together   that is far more erotic than any scene of sweaty bodies grinding together    although the movie is longer than it should be and is essentially a melodramatic tearjerker with an unsatisfying conclusion that guarantees unhappiness for just about every character   there are enough moments like that which make   the horse whisperer   worth the price of admission    
Neg, seen may 2   1998 at 3   40 p   m   at the crossgates cinema 18   theater #13   with chris wessell and sean o shea for $5    [theater rating   * * * 1/2   very good sound   picture   and seats]  the big budget   mega hype   event   movie is becoming so trendy now it is becoming a weekly routine instead of a seasonal one    gluttony is hollywood s favorite sin   but it is the movie goers who pay the price by being dealt the same things over and over on an ever worsening basis       lost in space   is the latest such offering   a film so poor it would be twice as good if it were mediocre    it s made up of every element of science fiction   but at no time does it evoke the slightest amount of wonderment the genre was meant for    audiences  attention spans are rapidly decreasing and as is the trend with such films   this one opens with a fast paced space battle which serves not only as the most interesting scene in the film   probably because it has   star wars   written all over it     but as the producers  way of showing off their budget through the special effects    battle scenes are worthless without tension   and since we have no idea what the setting is it s impossible to care about anything that happens    in essence   the entire segment works like a teaser for an arcade game   not a piece of filmmaking    we meet the robinson family   a family of five that does not get along but has been chosen to act on earth s behalf in effort to find another planet worthy of colonization due to the exhausting of our natural resources    each member of the family has a special trait and personality   and yet none of them seem like actual people    professor john robinson   hurt   is the intelligent   quiet leader who has devoted so much time to his work his family and marriage are suffering without his realizing it   it s obvious what role this aspect will play      of course this is all established through extremely melodramatic scenes such as the children and parents arguing and bickering among themselves and with each other   while the necessary problems are   resolved   at the right moments    the only thing worse than the screenplay is the fact it s presented in a completely serious manner without a trace of satire   and is so pathetic it s laughable    the first act is not a building of a story   but a juxtaposition of scenes that serve no purpose other than to plug in all the required elements   such as plot   conflict   and characterization   god forbid !      we re provided with the minimum amount possible of these elements to keep the film from being completely silent    in fact   it might as well be since the dialogue is virtually non existent    yes   the characters do speak   but they do not talk    they say things that only relate to the conflict   but they never really interact   unless it s the cartoony flirting scenes between arrogant major don west   leblanc   and uptight   unemotional judy robinson   graham        it s amazing that after an hour of trite dialogue and generic plot devices that so little happens    eventually the pacing rapidly increases   but the amount of genuine interest does not    the story finally gains some prospective by living up to its title as the robinsons find themselves lost in space after narrowly managing to defeat dr   smith   oldman     the cartoony villain   and his plans for sabotage    what ensues is a series upon series of completely unrelated conflicts    the first such scene takes place on an abandoned spaceship and what ensues could best be described as   alien    lite    the story changes again when the robinsons crash land on an alien planet and must act quickly to escape it and survive    but there s never any real notion of suspense here because the script constantly wanders aimlessly    plotlines are developed   but each becomes totally irrelevant as the story changes from scenario to scenario    the atmosphere attempts to be surreal by incorporating time travel and various time paradoxes   but it s presented in such a ridiculous way it s utterly boring    by the time the last act rolls around   there is no sense of a payoff building    the ending does not go out on a high note with any kind of climax   instead   it seems to come to a sudden halt   but at least it ends at all         lost in space   is major film production at its worst    it s frightening that a film so poorly written   directed   and acted might be considered mainstream entertainment    
Neg, starting with the little mermaid and most recently the lion king   the walt disney company once again proved that they could not only consistently make modern day animated classics   but were particularly in touch with what the general viewing public  particularly kids   wanted to see    therefore   it s with some surprise that as a big fan of the above mentioned movies i was so disappointed with pocahontas    despite some innovation and risk taking   the story is surprisingly straightforward and dramatized in broad strokes   as are its characters    a group of englishmen lead by the evil governor ratcliffe come to the new world in search of gold with no regard for the   savages   that live there    the natives look upon the english with just as much fear and distrust    only the love between the beautifully structured pocahontas and the dashing captain john smith can prevent a terrible clash    the ending   as it turns out   is not entirely a happy one and is one of the film s finer moments    the characters are mixtures of stereotypes and lack any real depth    governor ratcliffe   for instance   is a snobbish   single minded bore whose mere appearance is supposed to bring about hisses    captain john smith is a blond hunk who   while   slightly   misguided   is good at heart    pocahontas herself is the typical disney heroine who is practically being forced to marry a man who everyone but her likes and finds the man of her dreams just in time    she even comes complete with insignificant best friend    again   against tradition   talking animals aren t used   but a lusty   wizened   talking tree is    this is an odd compromise   but it s one of the few elements that really work    the animals are a delight   and what brief time their interactions take place brings the only humor and fun to a rather bland presentation    maybe it would have been a better film if we saw the story unfold through their eyes    the talking tree   who seems to have a thing for john smith   is the only other character that can hold our interest and is perhaps the best developed of the bunch    the music   a welcome delight in the later disney films   is mostly a let down here   with the exception of the catchy and motivational     colors of the wind      mel gibson   as the voice of john smith   has a solid singing voice and should have been used more    the opposite holds true for the governor ratcliffe led songs   the singing is even more grating than his simplistic character    i was rather bored through what turned out to be a shorter than expected running time    even the children in the audience seemed restless    while there s no stopping a kid from seeing something that they want  or disney wants them to  most i believe will be disappointed    perhaps the biggest problem is that disney has strayed from their familiar fable and fairy tale themes to history    it s all right to change or embellish fantasy to suit a movie s entertainment value   but doing so to historical facts doesn t work nearly as well as creating nagging questions in the viewer s minds and plot holes that are never filled    even the artwork   another disney strong point   varies greatly in quality   making any story problems even more obvious    as mentioned above   there were many questions that stayed with me while viewing the film    for instance   if john smith was truly such a world traveler and had so much experience with   savages     why did he so quickly change his previous   kill as many indians as i can   attitude    if he was such a nice guy after all   he should have changed his ways long before this    or how about pocahontas  amazing english speaking ability when this had supposedly been the first time she had seen white men    i can understand making the native americans speak english for the benefit of the audience   but simply saying that they had met a missionary years earlier would have cleared up a lot   history was modified in the film anyway    as it is   i wonder if it doesn t give kids the wrong impression    in short   the film is too simplistic for adults and contains too much romance and not enough action or humor for the younger set    while disney tried valiantly in many ways to break with some of their firmest traditions   they end up failing on too many levels    
Neg, the most interesting thing about virus is that the title of the film does not refer to the clunky robotic animals that try to kill our heroes    alas   it refers to our heroes !  as it turns out   the alien race that sends a computer virus to earth   via the mir space station   thinks of the human race as a virus    perhaps even a cancer    that needs to be eradicated before it spreads any further    after all   we have taken up this entire planet   and if they let us live for another billion years or so   we might advance beyond our solar system and into the next one    but the human race doesn t have much to worry about    after all   there s a woman named foster   jamie lee curtis   out there stopping the computer virus    she s the chief navigator on a sea vessel   travelling with her is captain everton   donald sutherland     steve baker   william baldwin     woods   marshall bell     squeaky   julio oscar mechoso     and richie   sherman augustus      they re all sailing in a typhoon one lovely evening when they stumble across an enormous   abandoned russian satellite ship in international waters    lucky for us   we already saw that the computer virus has taken over the ship and eliminated everyone on board    the evil captain everton thinks he s going to take the ship in and get a reward   he convinces his crew that there s going to be big money   so they try to salvage the ship    soon   however   when it s apparent that no one is on board and that the ship has no power   they realize that something bad must have happened    finally   they meet nadia   joanna pacula   who explains their situation   a computer virus has taken over the ship !  it s creating bio mechanical life forms to eliminate the human race !  virus is a truly dumb action thriller   one of negligible intelligence and innovation    when considering the entire film   you will realize that it lacks a single original scene    it s a direct rip off of nearly every james cameron film   aliens   the abyss   and the terminator films are the most plagiarized     more importantly   it s basically the same movie as last year s deep rising    i liked deep rising simply because it s funny    it knows it s silly and derivative    virus takes itself seriously    and   in the most serious manner possible   it steals from every good and bad film of the genre   showing you countless familiar scenes   and sporting a cookie cutter plot that any film of the sci fi/horror genre could fit with a little trimming    but what is so amazing about virus is how poorly the whole thing has been thought out    okay   let me get this straight    the alien race   which is never really explained   is basically sentient electricity    they need to make themselves physical   so they use a space station to get onto a ship   which is surrounded by water   but who cares about that      on the ship   they make a bunch of clunky   immobile robots that somehow kill three hundred people    after that   they start using the dead people to create half human   half machine creatures that look like the terminator but are much worse at walking around    the leader   of course   is a big creature    every film like this has a big creature at the end   but the big creature in virus is so big that it has to tear down the walls to move around    virus is indeed a cliched film   but the central flaw lies in the fact that the computer virus just isn t very threatening    it s established that they can simply turn off the power to stop it   but the virus has sealed the power room by the time our heroes get there    on one level   virus is almost passable fun    it s really gory   and a few of the scenes have interesting camp appeal   the director   john bruno   worked on a lot of cameron s films      there s also a nice array of actors   even though none of them do any acting   except for donald sutherland   who does a lot of very bad acting      the bottom line   however   is this   virus is a bad movie    it rips off a lot of good movies that are worth seeing    in that order   i recommend that you rent any one of the alien films   simply to admire the qualities of a creature that actually threatens our heroes    
Neg, the previews for the movie are pretty good    they show a little plot   all the characters   and the emotional highlights   all spliced together to give a general impression of the script    unfortunately   the full movie adds nothing but 115 minutes    the residents of mystery love hockey    mystery and hockey go together like texas and high school football    the townsfolk love hockey so much that they even acquit a player who s guilty of shooting another man   yes   that s one of the movie s jokes      every saturday   the best players pair off for a game   and the whole town comes to watch    the town s prodigal son charlie   hank azaria   wrote an article on the weekly game for sports illustrated    mystery s national fame has the town abuzz    a week later   charlie actually shows up in person   and he brings with him an offer from the nhl    the new york rangers will come to mystery to play the locals    the mysterians see this as both good and bad    on the one hand   they d love to have the fame and the money of such an exhibition    on the other hand   they don t want to turn up as the butt of leno and letterman jokes    the movie follows a handful of lives that are affected by the proposition    biebe   russell crowe   has just been retired from the team and is asked to coach the boys   including his new replacement    he s already resentful   and to top it off charlie has been making eyes at his wife    crowe is not given a lot of room to act in this film   so he s just kind of stuck with constantly brooding    charlie   meanwhile   is resentful of having born in a town where hockey is the only measure of a man s worth    his   gift   of the feature story   and of the new york rangers   was his way of compensating for not being a better skater    he hoped it would earn him some respect and merit   but the townspeople find reasons to continue disliking him    burt reynolds could have been interesting as walter   the judge whose courtroom was befouled by a moronic jury of hockey fans    walter actually has some experience with collegiate hockey   but he actively tries to put it behind him    he wants his son to take the game more seriously   but he wants his community to just get over it    reynolds could have been good   but sloppy writing and/or editing keep walter in the corner   and so reynolds never really gets to pull his performance all together    one character actually was interesting    biebe s wife   mary mccormack     like the judge   understood that there was more to life than hockey    but unlike him she has come to accept the skewed view of the community    she chose the town and her husband with her eyes wide open    her unique insight is verbalized once   and it lasts only a scene before it is gone   but her performance carries the hint of some deeper wisdom    mysterty   alaska follows a handful of other characters   but none are well developed or worth mentioning    the biggest problem with this movie is that there is no real heart to the story   no underlying thing that the movie is really about    instead   roach and screenwriters david e   kelley and sean o byrne try to cram the entire human condition into this sports comedy    they try to make you laugh and cry   to feel outrage and pride    they present the framing and cadence for jokes   but there s nothing truly funny    they show appropriately staged scenes of sadness   but they give you nothing to be really sad about    as columnist molly ivins would say   it s all hat   no cattle    the perfect opportunity arises for roach to say what this movie is really about    there is a funeral scene   played with appropriate gravity and somber music    it is a chance for the characters to reflect on their lives and decide what s truly important    russell crowe steps forward to speak   about to spell out the movie s metaphor for us    he says that what really matters in life is   community            then adds   and hockey      i guess these mysterians really are as shallow as they appear    only mildly bad   mystery   alaska probably deserves 2 stars    i even laughed out loud   genuine laughs in places    but i docked it an extra half star when mike myers   a friend of roach   turned up in a role that didn t suit him    myers is a comic character actor    he puts on masks   becomes an outrageous caricature   and is funny    he s great as austin powers   dr   evil   or any of his scottish characters    nobody else in mysterty   alaska is a comic caricature    all the other people have the feel of dramatic characters in semi serious roles    for roach to bring in myers for a few cheap laughs shows incredible contempt toward the rest of his cast   toward his audience   and indeed toward the film itself    it s an acknowledgment by the director that the film is not worth taking seriously    
Pos, there are some works of art that are almost impossible to review   not because of their own complexity   but because of their legendary status which prevents the reviewer to say anything original    one of such masterpieces is casablanca   probably not the best film in the history of the seventh art   but definitely the most popular one    its popularity can be measured not in a multitude of more or less disguised remakes that were made in more than half a century since its premiere   but also in countless tributes and references that movie makers use in their works to this day    casablanca is also a movie that has the very rare virtue of both being praised by the critics and loved by general audience    one of the things that makes this film even more unique was the fact that it was doomed to fail   at least judging by conventional movie making wisdom of its time    it was based on a broadway play so mediocre that it hadn t been produced on stage   screenplay by three writers   julius g   epstein   philip j   epstein and howard koch   was beeing written as shooting went along   the main actors were producers  second choice   and   finally   man behind camera   michael curtiz was considered to be capable   but not great director    however   the movie was commercially successful and earned three   oscars     including the one for the best film    until this very day   it is considered to be the best example of hollywood film  making in its own golden age    the plot of the movie was heavily influenced by the needs of ww2 propaganda   yet it also used rather complicated and now almost forgotten political circumstances of that global conflict in order to make intriguing story    in december 1941   casablanca   exotic port on the atlantic coast of north africa is controlled by officially neutral   yet nazi collaborating french vichy government    thousands of refugees from war torn europe are stuck there on the way to lisbon and safety of america   and ready to pay any price for precious exit visas    many shady characters thrive on their misery   including the corrupt police chief   captain renault   rains      his best friend is rick blaine   bogart     who used to be idealistic anti fascist   and now owns popular night club in casablanca and lives by his own cynical philosophy of   sticking his neck for nobody      however   everything changes when he gets in possession of two precious extra visas    this event coincides with the arrival of two new refugees to casablanca    one of them is victor laszlo   henreid     czech resistance leader who escaped three times from nazi concentration camps and became the legend of enslaved europe    he is accompanied by his beautiful wife ilsa lund   bergman     with whom rick had a stormy affair in the eve of nazi occupation of paris    the couple needs visas   especially because of the gestapo major strasser   veidt   being on their trail    rick is now forced to choose between love   wounded pride   self preserving interest and his own hatred of fascism    the casting for this movie seems influenced by divine inspiration   humphrey bogart   most legendary actor in the history of cinema   is one of the rare character actors who elevated his persona to the star status    bogart s portrayal of rick as complicated man   torn between idealistic past and bitter present   was so perfect   that his icon would forever be connected with that character    another icon in his company is ingrid bergman   great actress of old hollywood   here in her artistic and visual prime    the cinematic coupling of bogart and bergman became one of the main symbols of that era of filmmaking   some happier times when the romance on the screen didn t look childish nor trite like in some more contemporary works    for many people   casablanca is probably the best romantic film ever made    but the reason for that isn t the romance itself   it s the realistic story of people forced to make tough   and often wrong choices in their life    the casting of casablanca was right on target not just in a case of main leads    the supporting actors also did a marvellous job    sidney longstreet and peter lorre were here mainly to give a mystic flavour spotted in a previous bogart classic   john huston s maltese falcon   yet both of them managed to portray colourful and original characters    another shining example of good casting is now almost forgotten paul henreid as the weakest part of love triangle   character of victor laszlo has believable charisma and looks like a somebody who could inspire millions of people to rise against nazi tiranny    unfortunately   the charisma that burdened laszlo   leaves little place for difficult choice   making his character forever overshadowed by rick/ilsa coupling    however   rick and ilsa actually have a serious competiton for most memorable character in casablanca    captain renault   brilliantly portrayed by claude rains in a role of a lifetime   was embodiment of perfect   almost unmatched balance between ethical corruption and physical charm    despite being the undoubtful villain in almost entire movie   rains managed to make renault sympathetic character   and his final conversion to the side of good   symbolized in not so subtle gesture at the end of movie looked unnecessary    rains also gave another dimension to the movie   making it even more ambiguous   people who like to analyse movies to death discovered signs of homosexuality in renault s relationship towards rick   and rick s final words leave room for even more outrageous speculations    together with well drawn characters and exciting story   the movie was good in creating his own atmosphere    professional nitpickers would probably have a field day in discovering numerous historical and geographical inaccuracies   but casablanca is still a shining example of hollywood ww2 movie that is beliavable   if not realistic    any way   even if we don t see it as a historical document   casablanca is movie that can be source of entertainment as well as infinite inspiration    
Pos, this is one of the most funny and entertaining comedies of the year and it just happens to be animated    there are some great voice over commentaries from hollywood s most famous celebrities   some fabulous animation and a compelling story    this is the best we ve seen from disney since   beauty and the beast     1996      this film begins an unspecified time following the happily ever after conclusion to toy story    in the aftermath of their earlier adventures   buzz   voice of tim allen   and woody   voice of tom hanks   are now fast friends and all the toys live in perfect harmony   content with their   lives      one day   andy broke woody s arm off   while playing with him    woody is now officially discarged and worthless   left with his nightmares   where he lies in a trash can with the other discards    later andy s mother decides to have a yard sale   and she collects a few old toys from her son s room    since one of these discards is a member of the moving toy gang   woody goes to the rescue   leaving the safety of the house for the uncertainty of the front lawn in order to bring the toy back    although his mission is successful   he is placed in a serious predicament when a toy collector named al   voice of wayne knight   spies woody while hunting through the wares available at the sale    the cowboy toy represents the final collectible needed to complete his collection of merchandise from the old tv series     woody s roundup      if he can acquire woody   al can ship everything to a toy museum in japan for a huge profit    so   after andy s mother refuses to sell the wooden cowboy   al steals him   and it s up to the other toys   led by buzz   to go into the city to save their friend    and so   buzz   rex   voice of wallace shawn     hamm   voice of john ratzenberger     mr   potatohead   voice of don rickles     and slinky   voice of jim varney     go out on a dangerous journey to rescue their friend   they find themselves confronting things like busy streets and other buzz lightyear toys    there are car chases   gun fights and finally the confrontation between buzz and his nemesis   who   by the way   resembles darth vader      meanwhile   woody learns that he was once a tv celebrity and has a family   a cowgirl named jessie   voice of joan cusack     a horse named bullseye   and a father figure called the prospector   voice of kelsey grammar      they offer him another life   as a celebrity    a toy in a museum in japan    he is now forced to choose between being loved intensively by andy for a little while   before he grows up   and be forgotten   or be admired by children for generations    the problem is   if woody escapes from al s clutches and returns home   they will end up back in the lonely darkness of storage    a real effort is made in the technical department    the animation is rich and colorful   with lots of wonderful details   the   cinematography   is also extremely improved since toy story   there are a lot of complicated swings   turns and close ups that really make an impression    lighting and filters are used to create a mood   as in a surprisingly emotional moment   jessie s remembrance of her days when she was a beloved toy   the film contains a lot of in side jokes   such as the one about videogames     and entertaining parodies on   jurassic park   and   star wars      the film ends with the   failed takes     the kind of scenes that we are used to see after comedy shows on tv    these outtakes are some of the funniest scenes in the film    but what in the end makes   toy story 2   a memorable experience is not the jokes   its multiple parodies or marvelous animation    it is its heart and emotions    the story about the meaning of friendship   love and even life itself    it is not difficult to predict that   toy story 2   would be a huge economical success   but its artistic achievement was unexpected    unexpected because the first film wasn t much more than a demonstration of special effects    but mostly it was unexpected because disney hasn t produced anything spectacular in years and is constantly surpassed by companies such as dreamworks and warner brs    but here the director has changed the atmosphere of the film   making it more accessible and interesting for persons older that 9 years    this is a big step away from the ancient laws of disney animation    off course   this is not   antz     it is not as intelligent   this is not a landmark and no masterpiece   but i promise that you ll find it as funny and enjoyable as i have    whether this is the best animated film of the year   i dare not say    my choice would probably be   the iron giant     but   along side with   american pie     this is the comedy of the year    i almost lost my hopes for disney   but   toy story 2   proves that disney hasn t lost their ability to entertain    
Neg, tv s buffy finds herself on the other side of the supernatural spectrum in   simply irresistible      sarah michelle gellar   that never ceasing crusader against never ending evil every tuesday night on the wb network   here plays a down on her luck chef suspected of dabbling in witchcraft after her flailing restaurant receives help in the form of magically scrumptious meals    taste test results   some vampire slaying   though out of place   would have really livened this excruciating movie up       simply irresistible   is actually quite easy to deny   a disaster of culinary and other proportions pretty much from the opening on    gellar s amanda finds herself falling for harried henri bendel exec tom   sean patrick flannery of powder   around the same time she discovers an uncanny ability to mystically manifest emotions in her cooking   a secret ingredient that arouses both his interest in her and the public s in her tiny tribeca eatery    all this love and sorcery have a lot to do with the telekinetic crab that also figures into the story   a tale that at times plays like an american spin on 1993 s mexican classic   like water for chocolate      several differences   one     like water   didn t have a telekinetic crab   and two     like water   was a good film       simply irresistible     on the other hand   is about as challenging as an easy bake oven    amateurishly staged scenes cancel each other out in their badness   from an embarrassing seduction in a literal vanilla fog to an impromptu dance sequence where tom and amanda do their best fred and ginger   though fred and ginger never took part in anything this garish    the intrusive musical score distracts from the flat dialogue at regular intervals   but it s not like you re were going to miss much    in fact   take away the few instances of salty language and this has made for disney channel written all over it    but a majority of   simply irresistible    s resistibility factor has less to do with the afore mentioned overkill than the bland leads   tom and amanda are so thin and ambiguously defined that there s just no fun rooting for their inevitable   happily ever after      nor do the otherworldly powers that serve to bring them together make sense   so we re left with a ho hum relationship based on enchanted eclairs   it s not going to last long   people    perhaps sensing this   the filmmakers have piled on weird supporting characters for acting vets like betty buckley   dylan baker and patricia clarkson   but they don t go anywhere either    in fact   nothing in   simply irresistible   goes anywhere save for gellar   and she doesn t go somewhere so much as you wish she d go  somewhere    like to a better movie    already proving major talent with relatively few big  and small screen roles   she s the sole reason this overcooked souffle isn t completely fit for the garbage disposal   looking smashing in her todd oldham designed duds and investing much more in her perfunctory part than she ever gets in return    it s certainly a dish best not served in it s current condition   but one can only guess that   without gellar     simply irresistible   would be strictly unwatchable    
